image_path,folder_tag,pred_label,pred_confidence,fallen_trees,building_debris,damaged_infrastructure,flooded_roads,headline,short_caption,long_caption
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1010961956597347_vs_513774708125503(2)\513774708125503_2024.png,mild,mild,95,0,0,0,0,"Clear roads, intact infrastructure, no visible damage after disaster.","The street and surrounding area show no visible damage, with clear roads and intact infrastructure.","The street-level view reveals no visible signs of damage. Roads are clear, and infrastructure, including power poles and lines, appears fully intact. Palm trees stand upright, and buildings in the distance show no debris or structural issues, indicating a very mild impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1012343883441817_vs_1084360133104958(2)\1084360133104958_2024.png,mild,severe,90,10,85,5,0,Extensive Building Debris Visible Along Coastal Road,"Significant building debris and exposed structural frames line a coastal road, indicating severe damage.","The image reveals extensive building debris and numerous exposed wooden structural frames along a coastal road, suggesting severe damage to multiple properties. While the road itself appears clear and dry, the widespread structural damage to buildings is the most prominent indicator of disaster impact. Some trees show sparse foliage, but no fallen trees or damaged infrastructure like poles or powerlines are visible."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1014493733078300_vs_2672433022940378(3)\2672433022940378_2024.png,mild,moderate,85,55,35,25,0,Tree debris and scattered materials line unpaved roads.,"Unpaved roads show tree debris and scattered materials, indicating moderate impact.","Moderate damage is evident with significant tree debris and scattered materials along the unpaved roads. While no flooding is present, some infrastructure like fences appears disheveled, and power lines are visible, suggesting a cleanup effort is underway."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1019093062617211_vs_1080058700390354(2)\1080058700390354_2024.png,mild,mild,90,0,10,20,0,"Minimal visible damage: intact poles, dry roads, temporary structures.","A dry coastal road features intact utility poles and temporary structures, showing minimal visible damage under a clear sky.","The street-level image displays a dry coastal road with no visible flooding. Utility poles stand upright, and power lines appear mostly intact with only minor sagging. There are no fallen trees or significant building debris, though some scattered ground material is present near temporary modular structures."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1019983222682029_vs_1717467469073988(1)\1717467469073988_2024.png,mild,mild,90,25,0,0,0,Fallen vegetation observed on rural road; minimal overall damage.,"Fallen vegetation lies beside a rural road, indicating mild damage in a natural setting.","Fallen tree branches and logs are visible on the left side of a rural dirt road, suggesting mild impact to the natural environment. The road itself appears clear and dry, with no visible building debris or damaged infrastructure, indicating limited overall damage in this wooded area."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1020259162647959_vs_1261435285006783(3)\1261435285006783_2024.png,mild,mild,95,0,0,0,0,"No visible damage to infrastructure, trees, or buildings observed.","No visible damage to infrastructure, trees, or buildings is apparent on this street-level view.","This street-level image shows no visible damage to infrastructure, including power lines and poles. Trees appear standing and intact, with no fallen debris. Buildings are structurally sound, and there is no scattered building debris or flooded roads, indicating a lack of significant disaster impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1030103948128949_vs_1218240882778509(2)\1218240882778509_2024.png,mild,mild,95,5,0,5,0,"Minimal Damage: Clear Roads, Intact Elevated Homes, No Flooding Visible.","Elevated homes and clear roads show minimal visible damage, with no flooding or significant debris.","The scene shows minimal visible damage, with elevated homes appearing intact and roads clear of debris. There are no fallen trees or signs of flooding, and infrastructure like barriers along the waterfront seems largely undamaged, indicating a mild impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1030799174598210_vs_1074540787533974(1)\1074540787533974_2024.png,mild,mild,95,0,0,0,0,No visible disaster damage; clear skies over rural landscape.,"No significant disaster damage is visible, with clear skies and intact infrastructure in this rural setting.","The image shows no visible signs of disaster damage, with trees standing, infrastructure intact, and roads clear. There is no building debris or flooding present. The scene depicts a rural area under clear skies, with vehicles and RVs parked on a dry dirt road, suggesting normal conditions."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1032160758142676_vs_1268352181184326(1)\1268352181184326_2024.png,mild,moderate,85,70,0,0,0,"Extensive tree damage, vegetative debris line unpaved road after disaster.","Extensive tree damage and vegetative debris are visible along an unpaved road, indicating moderate environmental impact.","Extensive tree damage and widespread vegetative debris line an unpaved road, showing significant environmental impact. Many trees are defoliated or have broken branches, with debris scattered across the landscape. While the road remains passable, the surrounding natural environment has suffered moderate damage."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1032940671196690_vs_877932610977494(3)\877932610977494_2024.png,mild,moderate,90,70,20,40,0,"Damaged trees, sagging power lines, and minor debris visible along rural road.","Widespread tree defoliation and damaged power lines are visible along a rural road, with minor debris present.","Widespread tree defoliation and snapped trunks are evident along a rural road, indicating significant vegetative damage. Sagging power lines are also visible, suggesting infrastructure impact. A small collapsed structure or tarp lies in the distance, contributing to minor debris. The road itself remains clear."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1037800984320799_vs_1292898091869435(3)\1292898091869435_2024.png,mild,mild,95,10,0,0,0,"Clear skies, dry roads, and intact infrastructure visible post-disaster.","The street-level view shows clear skies, dry roads, and intact infrastructure, with no significant debris or flooding visible.","This street-level image reveals a scene with minimal visible damage. Roads are dry and clear, and utility poles and power lines appear intact. There are no fallen trees or significant building debris scattered. The overall environment suggests a mild impact, with structures across the water also appearing undamaged under clear skies."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1037917407566629_vs_1246737846748609(3)\1246737846748609_2024.png,mild,moderate,85,65,55,10,0,"Fallen trees, scattered debris visible on cleared landscape after disaster.","Fallen trees and scattered debris mark a cleared landscape, indicating moderate damage in this post-disaster scene.","Fallen trees and scattered building debris are visible across a largely cleared landscape, suggesting significant impact. While distant buildings appear intact, the immediate area shows extensive clearing and some remaining wreckage, indicating a moderate level of damage and ongoing recovery efforts."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1039197443763210_vs_1218240882778509(3)\1218240882778509_2024.png,mild,mild,90,5,0,5,0,"Minimal Damage: Clear Roads, Intact Buildings, Few Bare Trees Visible.",Minimal damage is visible with clear roads and intact buildings along the coastline.,"The scene shows minimal damage, with clear roads and intact stilt houses along the waterfront. There is no visible building debris or flooded roads. Some trees appear bare, but no significant fallen trees or severely damaged infrastructure are present, indicating a largely undisturbed area."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1039383127416260_vs_866785878878011(3)\866785878878011_2024.png,mild,moderate,85,50,35,0,0,"Fallen trees, scattered debris indicate moderate damage on a residential street.","Fallen trees and scattered building debris are visible along a residential street, indicating moderate damage to the area.","Moderate damage is evident along this residential street, characterized by several fallen trees and scattered building debris, including wooden planks, on the ground. While distant structures appear largely intact, the surrounding vegetation shows signs of significant impact, with many trees defoliated or damaged."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1039458687230168_vs_1244329063426533(3)\1244329063426533_2024.png,mild,severe,85,70,75,40,0,"Severe building damage, widespread tree defoliation, and debris visible on street.","Severe building damage, extensive tree defoliation, and scattered debris are visible along a street after a disaster.","Severe building damage is evident with a collapsed structure in the mid-ground. Widespread tree defoliation and broken branches are visible throughout the area, alongside scattered debris on the ground. A leaning utility pole also indicates infrastructure damage, suggesting significant impact from a recent disaster."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1042090610568988_vs_2277328279333099(1)\2277328279333099_2024.png,mild,mild,98,5,0,0,0,"Clear coastal scene: no flooding, debris, or significant infrastructure damage visible.","The coastal area shows no visible flooding, building debris, or significant infrastructure damage under clear skies.","This coastal scene reveals no visible signs of disaster damage. Roads are clear and dry, with no flooding. There is an absence of building debris, fallen trees, or damaged infrastructure, indicating a largely unaffected environment under bright, clear skies."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1042803333750791_vs_847808444196256(3)\847808444196256_2024.png,mild,mild,95,0,0,0,0,"No visible damage to trees, infrastructure, or roads in coastal area.","No visible damage to trees, infrastructure, or roads is apparent in this sunny coastal scene.","This coastal scene shows no visible damage to trees, infrastructure, or roads. Palm trees stand upright, the road is clear and dry, and no building debris is scattered. The area appears largely unaffected by any recent disaster, with clear skies overhead."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1051666712874813_vs_2176605266055988(1)\2176605266055988_2024.png,mild,severe,85,0,50,70,0,"Severe Erosion, Damaged Roads, and Debris Visible Along Coastal Road","Extensive erosion and damaged roads are visible along the coastal area, with scattered debris and disturbed shoreline protection.","The coastal road shows severe erosion and significant damage, with cracked pavement and disturbed ground. Scattered debris is visible, particularly near the water's edge and around elevated houses. Shoreline protection is broken, and some wooden structures appear damaged, indicating substantial impact to the infrastructure and landscape."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1062525525160130_vs_425441153992513(3)\425441153992513_2024.png,mild,mild,90,0,0,15,0,"Minor infrastructure stress, some tree damage visible; roads clear.","Minor infrastructure stress and some tree damage are visible along a clear, dry road, indicating mild impact.","The image displays a clear, dry road with minimal visible damage. Some trees show signs of stress like broken branches or bare trunks, and minor infrastructure stress is noted on a utility pole. No significant building debris or flooding is observed, suggesting an overall mild damage level."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1064822254926182_vs_551929777227662(3)\551929777227662_2024.png,mild,moderate,85,75,15,45,0,"Widespread tree damage, leaning pole visible in post-disaster landscape.",Widespread tree damage and a leaning pole are visible in this post-disaster street view.,"The landscape shows widespread tree damage with many defoliated or snapped trees across the background. A leaning utility pole is also visible, indicating infrastructure impact. Roads are clear and dry, and the main elevated building appears structurally sound, suggesting moderate overall damage."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1068021560853573_vs_1271033400739541(1)\1271033400739541_2024.png,mild,mild,90,40,0,0,0,Tree debris lines dirt road in natural area.,"Tree debris is visible along a dirt road in a natural, undeveloped area under a clear sky.","Significant tree debris, including branches and brush, is piled along the side of a dirt road. The surrounding area appears natural and undeveloped, with numerous standing trees and clear skies overhead, indicating localized vegetation impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\107806219091079_vs_3754051524846539(0)\3754051524846539_2024.png,mild,mild,95,0,0,0,0,"Clear coastal road, standing trees, no visible flooding or major debris.","A coastal road appears clear with standing palm trees, showing no visible flooding or significant debris.","The coastal road and surrounding area show minimal post-disaster impact. All palm trees remain standing, and the road is clear of debris and flooding. No damaged infrastructure or building fragments are visible, indicating a very mild or non-existent impact from a recent event."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1088311985883444_vs_506841728897507(2)\506841728897507_2024.png,mild,mild,90,25,0,0,0,"Damaged vegetation visible along dry, clear road; no infrastructure or debris.","Damaged vegetation lines a dry, clear road, with no visible building debris or infrastructure damage.","Damaged vegetation, including bent trees and scattered fronds, is visible along a dry, clear dirt road. There is no evidence of fallen trees blocking the path, nor any building debris or damaged infrastructure. The area appears to have experienced only mild impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1090770191885969_vs_502835365955013(2)\502835365955013_2024.png,mild,mild,95,0,0,30,0,Sagging power lines visible over dry roads in coastal area.,"Sagging power lines are visible over dry, sandy roads, with buildings and trees appearing largely intact.","Sagging power lines are the most prominent visible damage in this coastal street scene. Buildings, many elevated on stilts, appear structurally sound, and no fallen trees or significant building debris are present. The sandy roads are dry, indicating no recent flooding, suggesting overall mild impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1095564198081267_vs_1218240882778509(3)\1218240882778509_2024.png,mild,mild,95,0,0,5,0,"Coastal area shows minimal damage; homes, roads, infrastructure largely intact.","Coastal homes and infrastructure show minimal visible damage, with no fallen trees or flooded roads apparent.","The coastal scene reveals minimal visible damage to homes and surrounding infrastructure. No fallen trees or building debris are present, and roads remain clear of flooding. The structures on stilts appear intact, suggesting resilience, with only minor weathering visible on some beach fencing."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1103669110596490_vs_1218240882778509(3)\1218240882778509_2024.png,mild,mild,90,5,0,10,0,"Clear Roads, Intact Buildings Show Minimal Damage Post-Disaster","Clear roads and intact stilt houses indicate minimal damage, with no significant debris or flooding visible.","The scene shows clear roads and largely intact stilt houses, suggesting minimal disaster impact. There is no significant building debris or widespread infrastructure damage visible. While some sparse trees are present, no fallen trees are evident, and the waterfront area shows no signs of flooding."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\111461628722103_vs_429751350149509(0)\429751350149509_2024.png,mild,mild,90,10,0,0,0,"Minimal damage: no fallen trees, building debris, or flooded roads visible.","Minimal damage is visible, with no fallen trees, building debris, or flooded roads present.","The scene shows minimal damage, with no fallen trees, building debris, or flooded roads evident. Utility poles appear intact, and the unpaved road is clear. While some vegetation looks disturbed, there are no critical indicators of severe disaster impact visible in this rural setting."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1128284241881025_vs_1047873653548271(3)\1047873653548271_2024.png,mild,mild,95,10,5,0,0,"Minimal damage visible: Intact buildings, clear roads, standing infrastructure.","Minimal damage is visible with intact buildings, clear roads, and standing utility infrastructure.","The scene shows minimal visible damage, with buildings appearing intact and roads clear. Utility poles and power lines remain standing, indicating no significant infrastructure damage. Some minor scattered foliage is present, but no large fallen trees or building debris are evident."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1140229120714465_vs_1048913559871009(3)\1048913559871009_2024.png,mild,moderate,90,0,0,55,0,Sagging power lines visible over a coastal road; buildings and trees appear intact.,"Sagging power lines are visible over a coastal road, while buildings and trees appear undamaged.","Significant sagging power lines are visible across the clear sky above a coastal road, indicating potential infrastructure stress. Despite this, nearby buildings on stilts appear structurally intact, and no fallen trees or building debris are present. The road remains dry and clear."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1141596393463520_vs_552794447262421(3)\552794447262421_2024.png,mild,moderate,90,10,65,65,0,Collapsed waterfront structures visible along coastal road; minimal other damage.,"Collapsed waterfront structures and scattered debris are visible along the coastal road, while the main road remains clear.","Significant damage to waterfront structures, including collapsed docks and piers, is evident along the coastal road. Scattered debris lines the shore, but the main road appears clear and houses remain largely intact, indicating localized impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1151474065810062_vs_1481768525822901(3)\1481768525822901_2024.png,mild,moderate,85,45,25,0,0,"Fallen Trees, Scattered Debris Visible Along Dirt Road",Fallen trees and scattered building debris are visible along a dirt road under a clear sky.,"Significant fallen trees and scattered building debris are visible along a dirt road in a rural area. Several trees appear uprooted or severely damaged, and corrugated metal sheets lie on the ground. Utility poles and buildings appear largely intact, with no signs of flooding on the dry dirt road."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\117640714765713_vs_942143934616396(0)\942143934616396_2024.png,mild,moderate,85,0,75,35,0,"Scattered building debris, sagging power lines visible in coastal area.",Significant building debris and sagging power lines are visible in a coastal area with elevated structures.,"A coastal scene reveals significant scattered building debris around elevated structures, indicating moderate damage. Sagging power lines are also visible, suggesting compromised infrastructure. The ground is dry and sandy, with no signs of flooding, but the overall environment appears disheveled from a recent event."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\120396731130801_vs_1576783539936459(0)\1576783539936459_2024.png,mild,moderate,85,60,25,10,0,"Defoliated trees, scattered debris visible on residential street.",Significant tree defoliation and scattered debris are visible along a residential street under a clear sky.,"A residential street shows moderate damage with numerous defoliated trees and broken branches, particularly on the right side. Scattered debris is visible on the grassy areas, though buildings appear structurally intact and roads are clear."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1206336760757002_vs_1737339513752042(1)\1737339513752042_2024.png,mild,mild,100,0,0,0,0,"No visible damage to trees, infrastructure, or roads in rural area.","No visible damage to trees, infrastructure, or roads is apparent in this undeveloped, rural landscape.","The image shows no visible damage to trees, infrastructure, or roads. The undeveloped area features a clear dirt road and healthy vegetation under a blue sky with clouds, indicating no impact from recent disaster events. All elements appear undisturbed."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1228118047863665_vs_1220900045835476(3)\1220900045835476_2024.png,mild,moderate,85,70,5,10,0,Significant Tree Debris on Roadside; Buildings Intact.,"Tree debris litters the roadside, while stilt houses and infrastructure appear largely intact.","Substantial tree debris, including large branches, is visible on the ground and partially on the road. Despite the fallen vegetation, the elevated buildings in the background show no obvious structural damage. Utility poles and power lines appear mostly intact, and roads are clear of flooding."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1229698861039721_vs_1234604274338161(3)\1234604274338161_2024.png,mild,mild,98,0,0,0,0,"No visible damage to trees, buildings, or infrastructure in coastal area.","No visible damage to trees, buildings, or infrastructure is apparent on this sunny day in a coastal residential area.","This street-level view reveals no visible damage to trees, buildings, or infrastructure. Palm trees stand upright, and the elevated house appears structurally sound. Utility poles and lines are intact, and the unpaved road is dry, indicating no signs of recent flooding or significant disaster impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\124506134071697_vs_8383439001775436(0)\8383439001775436_2024.png,mild,mild,90,10,0,20,0,"Sagging power lines, defoliated trees visible along clear road.","Sagging power lines and defoliated trees are visible along a clear road, indicating mild damage.","Sagging power lines are visible alongside a clear, dry road. Many trees show defoliation and some branch damage, but no large fallen trees or building debris are present. The overall scene suggests mild environmental impact, with infrastructure largely intact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\124870920703542_vs_419603177546018(0)\419603177546018_2024.png,mild,mild,95,0,15,0,0,"Minor debris scattered roadside; buildings, trees, infrastructure largely intact.","Scattered debris is visible on the roadside, but buildings, trees, and infrastructure appear largely intact with no flooding.","Scattered debris, including what appears to be wood and metal fragments, is visible on the roadside. However, buildings appear structurally sound, trees are standing, and roads are clear of flooding. No significant damage to infrastructure like power lines or poles is observed in this area, indicating mild overall impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1253683842004808_vs_9294374993911952(3)\9294374993911952_2024.png,mild,moderate,80,70,10,5,0,Widespread tree damage visible along clear roads post-disaster.,"Widespread tree damage, including snapped trunks and defoliated palms, is visible along clear roads with intact infrastructure.","Significant tree damage, including numerous snapped trunks and defoliated palm trees, lines the roadside. Despite the extensive vegetation impact, the main road remains clear and passable. Power poles and lines appear to be standing, indicating some infrastructure resilience. No visible building debris or flooded areas are present in the immediate vicinity."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1254278938605181_vs_813642884048015(3)\813642884048015_2024.png,mild,moderate,85,15,10,50,0,Sagging Power Lines Visible Amidst Sandy Coastal Landscape,Sagging power lines and sandy terrain indicate moderate damage in this coastal area.,"Sagging power lines are clearly visible across the sky, indicating moderate infrastructure damage in this sandy coastal environment. While buildings appear largely intact and trees are mostly standing, the disheveled landscape and utility issues suggest a recent event. The roads are dry, with no signs of flooding."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1260044508022235_vs_2295678424098864(3)\2295678424098864_2024.png,mild,mild,95,0,0,0,0,"Roads clear, infrastructure intact; minimal visible damage observed.","Roads are clear with no visible flooding or fallen trees, and infrastructure appears intact.","The street-level view reveals clear roads with no visible flooding or scattered building debris. Power lines and utility poles remain upright and intact. While some trees show defoliation, no fallen trees are observed, indicating minimal visible disaster impact."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1260921111285773_vs_843332507966051(3)\843332507966051_2024.png,mild,moderate,85,70,0,0,0,Fallen trees and debris visible along dirt road.,"Fallen trees and branches are visible along a dirt road, with cleared debris piled on the side.","Significant fallen trees and branches are visible along the side of a dirt road, with a large pile of cut logs and debris. The surrounding natural landscape shows some disheveled vegetation. The dirt road itself appears clear, with no visible flooding or damaged infrastructure."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1262043274500901_vs_553652110519907(3)\553652110519907_2024.png,mild,mild,95,0,0,0,0,"No visible damage to trees, buildings, or infrastructure.","The street-level view shows no visible damage to trees, buildings, infrastructure, or roads.","This street-level image reveals no visible signs of disaster damage. Trees remain standing, buildings appear structurally sound, and there is no scattered debris. Infrastructure elements like power lines and road surfaces are intact, with no evidence of flooding. The area appears largely unaffected."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\126467807209050_vs_1181461949586512(0)\1181461949586512_2024.png,mild,mild,90,0,40,30,0,Metal debris and damaged covered structure visible in sunny post-disaster scene.,Metal debris lies on the ground near a damaged covered structure under a clear sky.,"A large piece of metal debris is visible on the ground, suggesting damage to a nearby covered structure or pavilion. The surrounding palm trees remain standing, and roads are clear, indicating localized impact rather than widespread destruction in this sunny post-disaster scene."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1285785128715609_vs_2058675201254888(3)\2058675201254888_2024.png,mild,moderate,90,75,0,0,0,Extensive tree clearing and brush visible along unpaved road.,"Extensive tree clearing and brush line an unpaved road, with no visible building or infrastructure damage.","Extensive tree clearing and scattered brush are visible along a dry, unpaved road, indicating significant vegetation impact. Despite the widespread tree damage, no building debris or damaged infrastructure, such as utility poles or powerlines, is apparent in the area, and roads are not flooded."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1287838588786185_vs_535976002352832(3)\535976002352832_2024.png,mild,moderate,90,15,70,60,0,"Overturned vehicle, scattered debris, and bent barrier visible on dry road.","An overturned vehicle, scattered debris, and a bent barrier indicate moderate damage on a dry, unflooded road.","Moderate damage is evident with an overturned vehicle and scattered white debris across the dry, unflooded ground. A bent metal barrier is also visible, though powerlines and utility poles appear intact. The scene suggests a significant impact without widespread structural collapse or flooding."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1289296985121323_vs_2470386606490685(2)\2470386606490685_2024.png,mild,moderate,90,0,15,70,0,"Damaged piers, waterfront structures visible along coastal road.","Damaged piers and waterfront structures are visible along a coastal road, though houses appear largely intact.","Extensive damage to multiple piers and waterfront structures is evident along the coastline. While the main houses on stilts appear largely undamaged, the destruction of these coastal amenities suggests a significant event. The road remains clear and dry, with no fallen trees or widespread building debris from residential properties."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1291063585104418_vs_1111060186621527(3)\1111060186621527_2024.png,mild,moderate,90,75,0,10,0,Extensive Tree Damage Visible in Rural Area; Infrastructure Appears Intact.,"Significant tree damage and broken branches are visible in this rural area, with utility poles standing.","The image shows widespread tree damage with numerous broken branches and downed vegetation scattered across the landscape. Utility poles are visible and appear to be standing, with power lines present. There is no visible building debris, damaged infrastructure, or flooded roads, indicating localized impact primarily on natural elements."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1292715578029528_vs_1197589871449646(3)\1197589871449646_2024.png,mild,mild,90,0,0,0,0,"Roads clear, infrastructure intact; no visible fallen trees or building debris.","Roads are clear and infrastructure appears intact, with no visible fallen trees or building debris.","The street-level view shows clear roads and intact infrastructure, including standing utility poles and power lines. No visible fallen trees or significant building debris are present. Distant structures appear undamaged, indicating a mild impact on this area."
C:\Users\yyang295\Desktop\0310_post_folder\folder_0\1304719950158297_vs_903806871127282(3)\903806871127282_2024.png,mild,mild,90,30,0,5,0,Cleared vegetation visible; buildings and infrastructure largely intact.,"Cleared vegetation is visible on the roadside, while buildings and infrastructure appear largely intact.","Cleared vegetation and tree debris are visible along the unpaved roadside, suggesting some impact. However, the elevated buildings appear structurally sound with no visible damage. Power lines are present and utility poles are standing, indicating minimal infrastructure damage. The road is clear and dry."
